Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,,,Microsoft.Extensions.DependencyInjection 7.0.0,,,,,"Microsoft.Extensions.DependencyInjection, 7.0.0  Recommendation:  Remove Microsoft.Extensions.DependencyInjection, and replace with new package Microsoft.Extensions.DependencyInjection 10.0.9"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,,,,,,,,Current target framework: net7.0-windows Recommended target framework: net10.0-windows
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\obj\Debug\net7.0-windows\GeneratedInternalTypeHelper.g.i.cs,19,76,M:System.Windows.Markup.InternalTypeHelper.#ctor,,,,,InternalTypeHelper
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\obj\Debug\net7.0-windows\GeneratedInternalTypeHelper.g.i.cs,19,76,T:System.Windows.Markup.InternalTypeHelper,,,,,InternalTypeHelper
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\ViewModels\MainViewModel.cs,335,23,T:System.Windows.Visibility,,,,,_progressBarVisibility
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\ViewModels\MainViewModel.cs,259,12,T:System.Windows.Visibility,,,,,ProgressBarVisibility = Visibility.Hidden;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\ViewModels\MainViewModel.cs,259,12,T:System.Windows.Visibility,,,,,ProgressBarVisibility = Visibility.Hidden;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\ViewModels\MainViewModel.cs,259,12,F:System.Windows.Visibility.Hidden,,,,,ProgressBarVisibility = Visibility.Hidden;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\ViewModels\MainViewModel.cs,259,12,T:System.Windows.Visibility,,,,,ProgressBarVisibility = Visibility.Hidden;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\ViewModels\MainViewModel.cs,236,12,T:System.Windows.Visibility,,,,,ProgressBarVisibility = Visibility.Hidden;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\ViewModels\MainViewModel.cs,236,12,T:System.Windows.Visibility,,,,,ProgressBarVisibility = Visibility.Hidden;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SearchComparisonNet.GUI\SearchComparisonNet.GUI.csproj,File,SearchComparisonNet.GUI\ViewModels\MainViewModel.cs,236,12,F:System.Windows.Visibility.Hidden,,,,,ProgressBarVisibility = Visibility.Hidden;
